Id,ItemName,UnitOfMeasurement,Quantity,WarehouseName,AddressingName,
00518,CALCO JD R49003,12,1,2,MEZANINO-H-049,
00559,ROLAMENTO ESFERA FAG 6004,12,2,2,MEZANINO-N-022,
00629,PARAFUSO FRANCES 20X160MM MA RP 8.8,12,18,2,MEZANINO-C-019,
00771,LUVA MF 1686443M1,12,1,2,MEZANINO-F-010,
01523,PARAFUSO SEXTAVADO 6X10MM MA RI 8.8,12,33,2,MEZANINO-B-019,
01632,"PARAFUSO SEXTAVADO 3/4""X3.1/2"" MA RP 8.8",12,1,2,MEZANINO-M-019,
01647,"PARAFUSO SEXTAVADO 7/8""X4"" MA RP 8.8",12,1,2,MEZANINO-O-019,
01715,"PARAFUSO FRANCES 5/8""X3"" MA RP 8.8",12,8,2,MEZANINO-I-019,
01727,PARAFUSO FRANCES 10X35MM MA RI 8.8,12,27,2,MEZANINO-M-019,
01822,"PORCA SEXTAVADO 5/8"" MB",12,1,2,MEZANINO-V-018,
01822,"PORCA SEXTAVADO 5/8"" MB",12,2,2,MEZANINO-K-018,
01824,"PORCA GRADE 1.1/2"" MA",12,4,2,MEZANINO-H-018,
01835,"ARRUELA PRESSAO 1/2""",12,51,2,MEZANINO-N-018,
02097,SEM SOJA M-SOY 8866 - TERCEIROS PIMS,3,5,2,MEZANINO-H-018,
02119,ELETRODO OK 4600 3.25MM 6013 ESAB 0300076,3,37.896,2,MEZANINO-C-003,
02201,LIXA FERRO 225 X 275MM GR 100 3M HC000602025,12,3,2,MEZANINO-K-002,
02518,PREGO C/ CABECA 15X21,3,15,2,MEZANINO-G-060,
02535,BOCAL TOYAMA 0112662,12,2,2,MEZANINO-W-030,
02704,"BICO GRAXEIRO 5/16"" RETO",12,4,2,MEZANINO-A-029,
02730,"CONDULETE ALUMINIO TIPO LL 3/4"" C/ ROSCA TRAMONTINA 56104/302",12,2,2,MEZANINO-I-027,
02736,"ABRACADEIRA 3"" X 3.3/4"" - 76 X 95MM SUPRENS 7695",12,2,2,MEZANINO-Q-002,
03141,PLACA 1 POSTO 4404,12,1,2,MEZANINO-K-025,
03267,RETENTOR JD L110233,12,2,2,MEZANINO-Z2-017,
03360,"PORCA TRAVANTE 1""MA""",12,1,2,MEZANINO-K-018,
03366,PORCA TRAVANTE 10MM MB,12,1,2,MEZANINO-X-022,
03546,DISJUNTOR BIPOLAR 25A SHB-H SOPRANO 05121102521,12,3,2,MEZANINO-A-037,
03642,ROLAMENTO ROLETE GBE 32011,12,1,2,MEZANINO-O-023,
04049,"LUVA PVC SOLDAVEL BUCHA LATAO 25MMX1/2"" TIGRE 35267824",12,1,2,MEZANINO-U-028,
04144,CONEXAO GATES G25500 08008,12,5,2,MEZANINO-B-031,
04689,"TERMINAL MANGUEIRA 9/16"" GATES G25120-0606",12,5,2,MEZANINO-T-031,
04971,"ADAPTADOR PVC CONDULETE TOP 3/4"" TIGRE 36005297",12,7,2,MEZANINO-D-062,
05029,FIXADOR PORTA VONDER 3263500000,12,1,2,MEZANINO-O-030,
05174,"CAPA MANGUEIRA GS 3/8"" 03310-06",12,12,2,MEZANINO-K-031,
05211,PORCA MB 3453563126,12,2,2,MEZANINO-E-009,
05595,CLIP ALUMINIO 10MM SOAR 90900216,12,13,2,MEZANINO-Z13-031,
05766,PRISIONEIRO 8X60MM,12,33,2,MEZANINO-Z4-031,
05830,PARAFUSO SEXTAVADO 6X40MM MA RP 8.8,12,3,2,MEZANINO-F-019,
05846,PARAFUSO SEXTAVADO 12X20MM MA RI 8.8,12,57,2,MEZANINO-F-019,
05905,PARAFUSO SEXTAVADO 10X70MM MA RI 8.8,12,10,2,MEZANINO-S-020,
05905,PARAFUSO SEXTAVADO 10X70MM MA RI 8.8,12,5,2,MEZANINO-B-019,
05932,"PARAFUSO SEXTAVADO 3/4""X7"" MA RP 8.8",12,4,2,MEZANINO-O-020,
06007,ELETRODO OK 4600 2.50MM 6013 ESAB 0300593,3,222.98,2,MEZANINO-B-003,
06008,ELETRODO OK 4804 3.25MM 7018 ESAB 0305901,3,46.96,2,MEZANINO-C-003,
06177,ROLAMENTO CASE 611582R1,12,1,2,MEZANINO-L-024,
06361,ANEL JD R26976,12,220,2,MEZANINO-K-015,
06428,PORCA SEXTAVADO 20MM MA,12,22,2,MEZANINO-A-018,
06471,RETENTOR 60.00 X 90.00 X 10.00 ARCA 5346,12,12,2,MEZANINO-F-017,
06925,PARAFUSO JD H168924,12,2,2,MEZANINO-T-006,
07007,GUARDANAPO PAPEL KITCHEN 22.70X22.80CM 50UN,17,77,2,MEZANINO-C-035,
07154,"PARAFUSO SEXTAVADO 5/8""X2"" MA RI 8.8",12,92,2,MEZANINO-R-020,
07163,ARRUELA PRESSAO 8MM,12,55,2,MEZANINO-P-018,
07501,SEM TREVO ALEXANDRINO - IMPORTADO,3,0,2,MEZANINO-B-010,
07581,"ABRACADEIRA 2"" X 2.1/2"" - 51 X 64MM SUPRENS 5164",12,1,2,MEZANINO-Q-002,
07867,ARRUELA LISA 14MM P7MM,12,16,2,MEZANINO-M-018,
08069,ARAME RECOZIDO Nº18,3,12,2,MEZANINO-G-031,
09119,FUSIVEL LAMINA MEDIO 25A AMS 16025,12,100,2,MEZANINO-G-012,
09277,COMPRESSOR JD AH169875,12,2,2,MEZANINO-A-049,
09628,COLA VULK 685GR VIPAL 475006,19,3,2,MEZANINO-J-003,
09727,TERMINAL MANG HIDR FDLX 08-16 08-16BI M24X1.5,12,28,2,MEZANINO-H-004,
09738,PASTA CATALOGO EXECUTIVA PRETA 50FLS DAC 1090A4,12,14,2,MEZANINO-U-004,
09832,REGISTRO PVC ESFERA VS SOLDAVEL 25MM TIGRE 27958028,12,5,2,MEZANINO-D-028,
10181,RODA MARCHESAN 0501052908,12,1,2,MEZANINO-P-043,
10553,FITA ISOLANTE S/ COLA 18X30MT LEIPLAST 33020,12,1,2,MEZANINO-D-002,
10843,ESCOVA ACO C/ CABO MADEIRA 4 FILEIRA VONDER 3599535600,12,2,2,MEZANINO-E-055,
11080,ESCOVA LAVAR MADEIRA MULTIUSO CONDOR 16,12,4,2,MEZANINO-Q-035,
12116,CHAVE COMBINADA 21MM 1B GEDORE 002516,12,1,2,MEZANINO-G-055,
12199,"CHAVE ""L"" TORX 43TX-T25 GEDORE 024607",12,1,2,MEZANINO-K-053,
13291,"PINCEL PINTURA 2.1/2"" ATLAS 395/6",12,14,2,MEZANINO-H-030,
13359,"ADAPTADOR PVC ROSCAVEL SOLDAVEL 40MMX1.1/2"" TIGRE 22007939",12,2,2,MEZANINO-F-029,
13361,TE PVC SOLDAVEL 25MM TIGRE 22200259,12,30,2,MEZANINO-O-028,
13370,SOQUETE PORCELANA E27 250V S/ RABICHO DECORLUX MT2213A,12,35,2,MEZANINO-V-026,
13689,COADOR PANO CAFE 130MM,0,4,2,MEZANINO-R-035,
14349,"PARAFUSO SEXTAVADO 3/4""X6"" MA RP 8.8",12,1,2,MEZANINO-N-019,
14420,ROLAMENTO STARA 9100-3300,12,1,2,MEZANINO-I-023,
14569,DISJUNTOR BIPOLAR 16A SHB-H SOPRANO 05121101621,12,5,2,MEZANINO-A-037,
15699,CONE JD JD8979,12,10,2,MEZANINO-D-014,
15881,"REGISTRO PVC ESFERA ROSCAVEL 1"" TIGRE 27958320",12,3,2,MEZANINO-Q-028,
17013,CACHIMBO RAINHA DAS SETE ETE7287,12,3,2,MEZANINO-A-009,
17329,PARAFUSO JUMIL 7004886,12,1,2,MEZANINO-R-020,
17433,AGULHA BRANCO 19200180,12,5,2,MEZANINO-G-007,
17512,ROLAMENTO MANCAL INA GRA100 NPPB ,12,12,2,MEZANINO-C-056,
17726,TRAVA FLAUS 702254,12,1,2,MEZANINO-F-010,
18110,LENTE CHEVROLET LANTERNA L/D TRASEIRA,12,26,2,MEZANINO-R-061,
18985,RETENTOR HONDA 51490GAA305,12,4,2,MEZANINO-F-007,
20100,PINCA CLINICA ALGODAO 16.5 CM COMPRIMENTO,12,1,2,MEZANINO-F-016,
20798,PORCA JD 14M7594,12,6,2,MEZANINO-M-049,
21103,TAMPA CASE A170241,12,1,2,MEZANINO-U-006,
23580,JUNTA JD R521498,12,4,2,MEZANINO-X-006,
24279,ROLAMENTO JD AH201531,12,1,2,MEZANINO-Y-024,
24696,ETIQUETA 21X12MM BRAZIL MX5500,16,8,2,MEZANINO-K-004,
24805,RODA CIVEMASA 3443587,12,4,2,MEZANINO-C-030,
24880,"BUCHA ALUMINIO 1.1/4"" WETZEL E001020051",12,23,2,MEZANINO-Q-030,
26333,ROLAMENTO ESFERA SKF 6000 2Z,12,10,2,MEZANINO-F-023,
28514,CAPA HONDA 40510MCG000,12,1,2,MEZANINO-V-008,
28998,APOIO STARA 7410-3037,13,4,2,MEZANINO-B-009,
29076,CONEXAO JD JD7759,12,17,2,MEZANINO-F-002,
29909,ETIQUETA JD CQ47316,12,23,2,MEZANINO-F-051,
30320,PARAFUSO JD 37M7431,12,9,2,MEZANINO-F-005,
30887,BUCHA CHEVROLET 93251515,12,1,2,MEZANINO-Y-055,
32310,SUPORTE CASE 250718A3,12,25,2,MEZANINO-B-021,
32469,GRAXEIRA KING AIR 0460015NCT,12,4,2,MEZANINO-M-024,
32989,PREGO C/ CABECA 26X72,3,2,2,MEZANINO-G-031,
33269,ARRUELA JD L113908,12,1,2,MEZANINO-A-006,
33289,BUCHA JD L78691,12,1,2,MEZANINO-R-016,
34180,BARRAGE 20ML,12,2,2,MEZANINO-J-024,
34321,JUNTA JD R524481,12,1,2,MEZANINO-G-016,
34876,BICO CONE VAZIO TEEJET AZUL TXA-8003-VK,12,1620,2,MEZANINO-L-052,
36298,CONEXAO HIDRAULICA AEROQUIP 1AA6FR6,12,1,2,MEZANINO-U-031,
36384,CONEXAO HIDRAULICA AEROQUIP 1AA6FRB4,12,1,2,MEZANINO-L-029,
36386,CONEXAO HIDRAULICA AEROQUIP 1AA6FRB6,12,3,2,MEZANINO-H-029,
36386,CONEXAO HIDRAULICA AEROQUIP 1AA6FRB6,12,8,2,MEZANINO-C-031,
36507,PORCA STARA 9100-2890,12,11,2,MEZANINO-G-010,
37664,ALAVANCA JD R256413,12,1,2,MEZANINO-K-016,
37950,CAIXA PLASTICA ORGANIZADORA 11LT PLEION 0330,0,3,2,MEZANINO-U-035,
38142,ABRACADEIRA STARA 7911-3080,13,2,2,MEZANINO-T-010,
39117,ARRUELA STARA 9100-0467,12,0,2,MEZANINO-B-010,
39581,PLUGUE JD 99M7109,12,1,2,MEZANINO-M-005,
40145,QUALY ACIDO BORICO,6,2,2,MEZANINO-Q-055,
40338,BUCHA PVC REDUCAO SOLDAVEL 110MMX75MM TIGRE 22077546,12,1,2,MEZANINO-R-030,
40345,"JOELHO PVC 90° SOLDAVEL ROSCAVEL 25MMX1/2"" TIGRE 35427821",12,6,2,MEZANINO-B-028,
41102,ROLAMENTO ESFERA PLB 22212,12,1,2,MEZANINO-C-024,
41198,"BOX RETO ALUMINIO C/ ROSCA 1"" TRAMONTINA 56127/003",12,14,2,MEZANINO-Q-028,
41464,"LUVA PVC SOLDAVEL ELETRODUTO 3/4"" TIGRE 36002956",12,10,2,MEZANINO-N-028,
41468,"CAIXA PVC EMBUTIR 4""X2"" DRYFIX TIGRE 21007013",12,22,2,MEZANINO-Y-024,
41770,MODULO INTERRUPTOR PARALELO 10A 250V BRANCO SIENA ALUMBRA 6012,12,4,2,MEZANINO-K-025,
42515,MANGUEIRA CASE 242070A1,12,1,2,MEZANINO-P-043,
43072,JUNTA JD R341960,12,1,2,MEZANINO-S-006,
43133,PARAFUSO SEXTAVADO 24X110MM MA RP 8.8,12,37,2,MEZANINO-I-021,
43201,PARAFUSO CASE 10923124,12,20,2,MEZANINO-O-021,
43265,POSTE LUZ JARDIM TIMONEIRO PRETO P50 9790020000042,12,1,2,MEZANINO-Z-018,
44906,RETENTOR 30.00 X 42.00 X 10.00 SABO 02234BRG,12,19,2,MEZANINO-P-059,
46101,ROLAMENTO ROLETE TIMKEN X30207-Y30207,12,4,2,MEZANINO-K-024,
46127,CONEXAO HIDRAULICO WINNER 205113012TZF,12,7,2,MEZANINO-B-031,
46619,ANEL STARA 7410-4287-AE4,12,2,2,MEZANINO-J-009,
47406,CONEXAO HIDRAULICA AEROQUIP 1EA16FHB16,12,1,2,MEZANINO-N-029,
48289,GANCHO TIPO OLHAL C/ FECHO 5TON KOCH 40512,12,1,2,MEZANINO-T-053,
48603,PORTA ESCOVA UNIFAP UF-1.195/4,12,10,2,MEZANINO-U-037,
48607,BIELA PISTAO ESQUERDO 65MM BITZER EIGPR002702,15,9,2,MEZANINO-K-037,
48610,GUARNICAO CE4 4PES15 BITZER CLFPR014102,15,7,2,MEZANINO-V-035,
48613,CAMISA CILINDRO DIREITO 65MM BITZER CLEPR001201,12,7,2,MEZANINO-U-037,
48614,CAMISA CILINDRO ESQUERDO 65MM BITZER CLEPR001301,12,7,2,MEZANINO-W-037,
49312,RETENTOR 125.00 X 150.35 X 13.00 TCS TCS0047,12,5,2,MEZANINO-H-017,
49766,LAMPADA 12V 16W PINGO AMARELA OSRAM W16W 921NA,12,1,2,MEZANINO-F-011,
50453,CONEXAO HIDRAULICA EATON WINNER 242110606ZF,12,3,2,MEZANINO-F-029,
50605,ROLAMENTO ROLETE TIMKEN L44643/10,12,16,2,MEZANINO-H-024,
51242,ROLAMENTO ROLETE TIMKEN 30204,12,1,2,MEZANINO-J-024,
51274,"ALICATE TELEFONE 8"" VDE8132-200 GEDORE 091844",12,3,2,MEZANINO-L-055,
51423,ROLAMENTO ESFERA SKF 1210 C3,12,2,2,MEZANINO-L-022,
52368,CORREIA JD H218645,12,4,2,192-A-134,
52938,VIRABREQUIM CURTO C4 BITZER CLAPR001002,12,2,2,MEZANINO-F-045,
53206,EMENDA RCC ASA 40,12,6,2,MEZANINO-D-048,
53207,EMENDA RCC ASA 415,12,6,2,MEZANINO-D-048,
53276,LANTERNA ARTEB 0460442,12,1,2,MEZANINO-F-043,
53969,ROLAMENTO JD AH221427,12,1,2,MEZANINO-J-024,
54189,PAPEL ALUMINIO 75CMX30M,12,7,2,MEZANINO-R-035,
54759,CATRACA MASTER FM363275X596,12,2,2,MEZANINO-E-056,
54760,CATRACA MASTER FM353275X596,12,1,2,MEZANINO-E-056,
55013,ROLAMENTO ESFERA SKF 6202 2RS,12,10,2,MEZANINO-K-022,
55246,PINHAO GEREMIA 513690300,12,1,2,MEZANINO-A-044,
55365,"ADAPTADOR PVC SOLDAVEL 75X2.1/2"" AMANCO 92723",12,6,2,MEZANINO-H-031,
55432,LAMPADA 12V 55W H1 PHILIPS 12258C1,12,9,2,MEZANINO-E-011,
55536,ENGATE JD AA59411,12,6,2,MEZANINO-J-016,
55617,MANGUEIRA JD RE527289,12,1,2,MEZANINO-X-014,
55617,MANGUEIRA JD RE527289,12,800,2,MEZANINO-T-014,
55688,"TE GALVANIZADO 45° 2.1/2"" - 65MM 165 TUPY 1254011",12,16,2,MEZANINO-Z11-062,
55874,PNEU 100/90X17 RINALD SH31,12,10,604,MEZANINO-O-056,
56742,"ELETRODO 3/16"" X 12"" CARVAO CARBOGRAFITE 012012312",12,3000,2,MEZANINO-A-003,
56809,INTERRUPTOR BIPOLAR 20A MARGIRIUS 30223,12,17,2,MEZANINO-B-030,
56913,CORTADOR RALADOR LEGUMES KEITA CD01,12,3,2,MEZANINO-R-035,
57111,DISPENSER INOX PAPEL HIGIENICO ROLAO 400MT AURIMAR 1100,12,10,2,MEZANINO-W-026,
57123,"CONECTOR 1/4"" X 5/16"" HALTBAR 0314-B",12,1,2,MEZANINO-Z3-031,
57929,GARRAFA TERMICA INOX 1.8LT INVICTA 100197280105,0,1,2,MEZANINO-P-035,
58854,"PARAFUSO SEXTAVADO 1/2""X1.1/4"" MA RI 8.8",12,36,2,MEZANINO-O-020,
59606,"MANGUEIRA GAS GLP 1.20MT NPT 1/2"" JACKWAL 001904",12,4,2,MEZANINO-F-051,
59976,ROLAMENTO MANCAL BRM UC212-38V3F,12,3,2,MEZANINO-T-024,
60029,TUBO JD R501178,12,1,2,MEZANINO-B-049,
60285,ANTENA 900MHZ SOLINFTEC M2M SOLINFTEC 0320300011/EPT000020,12,2,2,MEZANINO-K-054,
60286,SUPORTE MAGNETICO ANTENA 900MHZ M2M SOLINFTEC 0321700012/EPT000244,12,1,2,MEZANINO-D-054,
60741,CARCACA JD R500471,12,1,2,MEZANINO-H-006,
60887,FITA VEDA ROSCA 18X25MT PLASTIFLUOR 10107303,12,10,2,MEZANINO-F-001,
61055,VALVULA JD AH228035,12,1,604,MEZANINO-P-012,
61353,"NIPEL PVC ROSCAVEL 1/2"" TIGRE 20151854",12,20,604,MEZANINO-L-028,
61556,VENTOINHA MOTOR ELETRICO CARCACA 112 WEG 10016914,12,4,604,MEZANINO-B-037,
62139,PARAFUSO SEXTAVADO 24X110MM MA RI 8.8,12,24,604,MEZANINO-F-019,
62222,PARAFUSO ALLEN CABECA CHATA 10X25MM MA RI 12.9,12,65,604,MEZANINO-D-020,
62238,SECADOR RESFRIADOR MARCOLD DRY COOLER SEEDS SYSTEM MARCOLD 45/110,0,4,604,MEZANINO-M-031,
62270,ROLAMENTO ESFERA FAG 6302 2RSR,12,1,604,MEZANINO-D-022,
62393,"CURVA GALVANIZADO MACHO FEMEA 90° 2"" - 50MM 1 TUPY 1224010",12,1,604,MEZANINO-G-031,
62852,CATALISADOR ESM EPOXI 900ML FARBEN 17501009,19,5,604,MEZANINO-H-001,
63023,JUNTA TOTAL SOURCE 1547712,12,0,604,MEZANINO-B-010,
64216,ISOLADOR ROSCA MECANICA 200MM PARATEC PRT-215,12,23,604,MEZANINO-Z2-062,
64316,MECANISMO UNIVERSAL DUPLO ACIONAMENTO DECA 1100SI6001,14,8,604,MEZANINO-O-060,
64498,PORCA HONDA 90304GE8003,12,1,604,MEZANINO-H-007,
64638,KIT IBUTTONS BASTAO VIGGIA TOPDATA 10011493,0,1,2,MEZANINO-E-007,
64736,ANEL MF 516575M1,12,3,604,MEZANINO-Q-010,
65018,RETENTOR 30.00 X 40.00 X 7.00 SABO 01535BR,12,1,604,MEZANINO-D-017,
65275,"LUVA PVC REDUCAO ROSCAVEL 1""X3/4"" TIGRE 20132540",12,4,604,MEZANINO-H-028,
65423,CRUZETA JD AL215219,12,6,604,MEZANINO-K-014,
66004,"CONDULETE ALUMINIO TIPO LR 3/4"" C/ ROSCA TRAMONTINA 56105/042",12,10,604,MEZANINO-L-027,
66333,LIMITADOR JD SU21848,12,4,604,MEZANINO-H-023,
66405,MICRO TERMINAL 5 ALTA VAZAO SAAF 20010200Z,0,1,604,MEZANINO-H-056,
66506,TINTA SPRAY MULTIUSO VERDE JOHN DEERE 300ML COLORGIN 1806,12,81,2,MEZANINO-F-001,
66818,"CONECTOR CONDULETE MULTIPLO 3/4"" C/ ROSCA TRAMONTINA 56251/052",12,7,604,MEZANINO-J-030,
67325,CORREIA LISA CONTINENTAL B100,12,1,604,MEZANINO-D-027,
67511,FECHADURA JD TK3L,12,16,604,MEZANINO-T-006,
67622,BARRA MF 048170T1,13,2,604,MEZANINO-L-014,
67807,"CONDULETE ALUMINIO TIPO LB 3/4"" S/ ROSCA TRAMONTINA 56103/312",12,3,604,MEZANINO-L-028,
67877,CONVERTEDOR FERRUGEM 1LT VONDER 5199710000,0,10,604,MEZANINO-K-003,
68637,PASSA FIO JD CQ25923,12,1,604,MEZANINO-C-005,
70036,ROLAMENTO MANCAL SKF UC205,12,6,604,MEZANINO-F-022,
70151,BICO CORTE NR06 CONDOR 404993,12,1,2,MEZANINO-M-055,
70916,CUNHA NIVELADORA 280X220X50MM 50UN CORTAG 60694,17,2,604,MEZANINO-G-030,
71049,MEXEDOR PALHETA CRISTAL P/ CAFE 500UN PRA FESTA 500,0,2500,604,MEZANINO-R-035,
71461,LUMINARIA HERMETICA LED 40W 6400K EMPALUX HL34016,12,3,604,MEZANINO-U-061,
71844,PLAFON REDONDO C/ SOQUETE PORCELANA PRETO 100W EXTERNA MEC-TRONIC 30126,12,1,604,MEZANINO-X-026,
72023,ROLAMENTO ROLETE SKF 32210,12,7,604,MEZANINO-A-022,
72227,PLUGUE JD AH86866,12,0,2,MEZANINO-F-006,
72471,ANTENA GPRS MU-00PI SMA/3M C/ CABO 5MT SOLINFTEC 0320310041,12,1,2,MEZANINO-B-025,
72498,TUBO ACO REDONDO 60X60MM CHAPA 14 2MT,21,15,2,MEZANINO-C-029,
73465,CONEXAO HIDRAULICA EATON WINNER 267910808ZF,12,1,2,MEZANINO-Z2-031,
73842,ARRUELA JD 24M7179,12,20,2,MEZANINO-O-049,
74419,ROLDANA JACTO 846519,12,2,2,MEZANINO-A-052,
74537,"TEE GALVANIZADO 1"" H-MECH 8040",12,14,2,MEZANINO-E-030,
74642,ROLAMENTO JD KK68640,12,39,2,MEZANINO-T-024,
74780,CONEXAO HIDRAULICA AEROQUIP 1SA6FR4,12,4,2,MEZANINO-D-029,
74819,ROLAMENTO NH 84330111,12,2,2,MEZANINO-Z17-031,
74923,PLUGUE FEMEA 2P+T 20A 250V CINZA EXTERNA MEC-TRONIC 39011,12,1,2,MEZANINO-Z9-021,
74985,PRANCHETA ACRILICO A4 CRISTAL ACRINIL 120,12,17,2,MEZANINO-K-035,
75073,RETENTOR JD AT324966,14,1,2,MEZANINO-G-006,
75211,"TAMPA 1 POSTOS CONDULETE ALUMINIO 1/2"" - 3/4"" TRAMONTINA 56117/002",12,2,2,MEZANINO-O-026,
